timestamp,event,page,props_json
2026-02-16T10:32:14.274022+00:00,search_executed,Explorer,"{""query_sample"": ""Rembrandt"", ""query_length"": 9, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 30, ""filtered_count"": 13}"
2026-02-16T10:33:41.795886+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-1935"", ""artist"": ""Rembrandt van Rijn"", ""source"": ""Explorer""}"
2026-02-16T10:33:41.797924+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-1935"", ""artist"": ""Rembrandt van Rijn"", ""source"": ""selection_checkbox""}"
2026-02-16T10:33:45.596868+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-4833"", ""artist"": ""Rembrandt van Rijn"", ""source"": ""Explorer""}"
2026-02-16T10:33:45.597500+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-4833"", ""artist"": ""Rembrandt van Rijn"", ""source"": ""selection_checkbox""}"
2026-02-16T10:33:46.485741+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-C-597"", ""artist"": ""Rembrandt van Rijn"", ""source"": ""Explorer""}"
2026-02-16T10:33:46.486464+00:00,artwork_view,Explorer,"{""object_id"": ""SK-C-597"", ""artist"": ""Rembrandt van Rijn"", ""source"": ""selection_checkbox""}"
2026-02-16T10:33:49.313584+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-3981"", ""artist"": ""Rembrandt van Rijn"", ""source"": ""Explorer""}"
2026-02-16T10:33:49.314404+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-3981"", ""artist"": ""Rembrandt van Rijn"", ""source"": ""selection_checkbox""}"
2026-02-16T10:33:50.647535+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-4717"", ""artist"": ""Rembrandt van Rijn"", ""source"": ""Explorer""}"
2026-02-16T10:33:50.648032+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-4717"", ""artist"": ""Rembrandt van Rijn"", ""source"": ""selection_checkbox""}"
2026-02-16T11:09:18.463681+00:00,search_executed,Explorer,"{""query_sample"": ""Sick woman"", ""query_length"": 10, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1500, ""year_max"": 2025, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 11, ""filtered_count"": 9}"
2026-02-16T11:27:45.090502+00:00,page_view,Explorer,"{""has_favorites"": true, ""favorites_count"": 17}"
2026-02-16T11:28:45.946478+00:00,search_executed,Explorer,"{""query_sample"": ""Steen"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 30, ""filtered_count"": 25}"
2026-02-16T11:29:21.776416+00:00,search_executed,Explorer,"{""query_sample"": ""The sick woman"", ""query_length"": 14, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 7, ""filtered_count"": 5}"
2026-02-16T11:41:02.997445+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-1109"", ""artist"": ""Charles Picqué"", ""source"": ""Explorer""}"
2026-02-16T11:41:02.998275+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-1109"", ""artist"": ""Charles Picqué"", ""source"": ""selection_checkbox""}"
2026-02-16T11:41:03.000051+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-C-95"", ""artist"": ""Cornelis Pietersz. Bega"", ""source"": ""Explorer""}"
2026-02-16T11:41:03.000207+00:00,artwork_view,Explorer,"{""object_id"": ""SK-C-95"", ""artist"": ""Cornelis Pietersz. Bega"", ""source"": ""selection_checkbox""}"
2026-02-16T11:41:03.473544+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-2848"", ""artist"": ""Michael Sweerts"", ""source"": ""Explorer""}"
2026-02-16T11:41:03.474757+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-2848"", ""artist"": ""Michael Sweerts"", ""source"": ""selection_checkbox""}"
2026-02-16T11:41:38.164953+00:00,search_executed,Explorer,"{""query_sample"": ""Steen"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 30, ""filtered_count"": 25}"
2026-02-16T11:42:40.187114+00:00,search_executed,Explorer,"{""query_sample"": ""The sick woman"", ""query_length"": 14, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 7, ""filtered_count"": 5}"
2026-02-16T12:52:46.359725+00:00,page_view,My_Selection,"{""has_favorites"": true, ""favorites_count"": 20}"
2026-02-16T13:02:08.673890+00:00,artwork_detail_opened,My_Selection,"{""object_id"": ""SK-A-1486"", ""artist"": ""Frans Jansz Post"", ""title"": ""SK-A-1486"", ""year"": 1659, ""has_notes"": true}"
2026-02-16T13:58:36.938899+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-C-230"", ""artist"": ""Jan Havicksz. Steen"", ""source"": ""Explorer""}"
2026-02-16T13:58:36.940030+00:00,artwork_view,Explorer,"{""object_id"": ""SK-C-230"", ""artist"": ""Jan Havicksz. Steen"", ""source"": ""selection_checkbox""}"
2026-02-16T13:58:41.537370+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-1109"", ""artist"": ""Charles Picqué"", ""source"": ""Explorer""}"
2026-02-16T13:58:41.537801+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-1109"", ""artist"": ""Charles Picqué"", ""source"": ""selection_checkbox""}"
2026-02-16T13:58:41.539802+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-C-95"", ""artist"": ""Cornelis Pietersz. Bega"", ""source"": ""Explorer""}"
2026-02-16T13:58:41.539961+00:00,artwork_view,Explorer,"{""object_id"": ""SK-C-95"", ""artist"": ""Cornelis Pietersz. Bega"", ""source"": ""selection_checkbox""}"
2026-02-16T13:58:41.541465+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-C-230"", ""artist"": ""Jan Havicksz. Steen"", ""source"": ""Explorer""}"
2026-02-16T13:58:41.541645+00:00,artwork_view,Explorer,"{""object_id"": ""SK-C-230"", ""artist"": ""Jan Havicksz. Steen"", ""source"": ""selection_checkbox""}"
2026-02-16T13:58:41.543377+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-2848"", ""artist"": ""Michael Sweerts"", ""source"": ""Explorer""}"
2026-02-16T13:58:41.543498+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-2848"", ""artist"": ""Michael Sweerts"", ""source"": ""selection_checkbox""}"
2026-02-16T13:58:44.022709+00:00,selection_remove_item,Explorer,"{""object_id"": ""RP-P-OB-601"", ""artist"": ""Unknown artist"", ""source"": ""Explorer""}"
2026-02-16T13:59:04.125999+00:00,selection_remove_item,Explorer,"{""object_id"": ""SK-C-95"", ""artist"": ""Cornelis Pietersz. Bega"", ""source"": ""Explorer""}"
2026-02-16T13:59:04.194895+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-C-95"", ""artist"": ""Cornelis Pietersz. Bega"", ""source"": ""Explorer""}"
2026-02-16T13:59:04.195449+00:00,artwork_view,Explorer,"{""object_id"": ""SK-C-95"", ""artist"": ""Cornelis Pietersz. Bega"", ""source"": ""selection_checkbox""}"
2026-02-16T13:59:09.480809+00:00,selection_remove_item,Explorer,"{""object_id"": ""SK-C-95"", ""artist"": ""Cornelis Pietersz. Bega"", ""source"": ""Explorer""}"
2026-02-16T13:59:13.653247+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-1109"", ""artist"": ""Charles Picqué"", ""source"": ""Explorer""}"
2026-02-16T13:59:13.653918+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-1109"", ""artist"": ""Charles Picqué"", ""source"": ""selection_checkbox""}"
2026-02-16T13:59:13.656422+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-C-230"", ""artist"": ""Jan Havicksz. Steen"", ""source"": ""Explorer""}"
2026-02-16T13:59:13.656643+00:00,artwork_view,Explorer,"{""object_id"": ""SK-C-230"", ""artist"": ""Jan Havicksz. Steen"", ""source"": ""selection_checkbox""}"
2026-02-16T13:59:13.658427+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-2848"", ""artist"": ""Michael Sweerts"", ""source"": ""Explorer""}"
2026-02-16T13:59:13.658590+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-2848"", ""artist"": ""Michael Sweerts"", ""source"": ""selection_checkbox""}"
2026-02-16T13:59:17.270009+00:00,selection_remove_item,Explorer,"{""object_id"": ""SK-C-95"", ""artist"": ""Cornelis Pietersz. Bega"", ""source"": ""Explorer""}"
2026-02-16T13:59:17.273777+00:00,selection_remove_item,Explorer,"{""object_id"": ""RP-P-OB-601"", ""artist"": ""Unknown artist"", ""source"": ""Explorer""}"
2026-02-16T14:37:26.578950+00:00,search_executed,Explorer,"{""query_sample"": ""Frans"", ""query_length"": 5, ""object_type"": ""Any"", ""sort_by"": ""relevance"", ""fetch_limit"": 30, ""auth_scope"": ""Direct only"", ""year_min"": 1600, ""year_max"": 1900, ""has_material_filter"": false, ""has_place_filter"": false, ""api_returned"": 30, ""filtered_count"": 22}"
2026-02-16T14:37:49.848055+00:00,selection_remove_item,Explorer,"{""object_id"": ""SK-A-112"", ""artist"": ""Frans Francken (II)"", ""source"": ""Explorer""}"
2026-02-16T14:37:53.476324+00:00,selection_remove_item,Explorer,"{""object_id"": ""SK-A-1014"", ""artist"": ""Frans Arnold Breuhaus de Groot"", ""source"": ""Explorer""}"
2026-02-16T14:37:57.129405+00:00,selection_remove_item,Explorer,"{""object_id"": ""SK-C-556"", ""artist"": ""Frans Hals"", ""source"": ""Explorer""}"
2026-02-16T14:38:14.954164+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-3753"", ""artist"": ""Adam Frans van der Meulen"", ""source"": ""Explorer""}"
2026-02-16T14:38:14.955209+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-3753"", ""artist"": ""Adam Frans van der Meulen"", ""source"": ""selection_checkbox""}"
2026-02-16T14:38:20.382898+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-133"", ""artist"": ""Frans Hals"", ""source"": ""Explorer""}"
2026-02-16T14:38:20.383354+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-133"", ""artist"": ""Frans Hals"", ""source"": ""selection_checkbox""}"
2026-02-16T14:38:22.127722+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-C-139"", ""artist"": ""Frans Hals"", ""source"": ""Explorer""}"
2026-02-16T14:38:22.128230+00:00,artwork_view,Explorer,"{""object_id"": ""SK-C-139"", ""artist"": ""Frans Hals"", ""source"": ""selection_checkbox""}"
2026-02-16T14:38:27.133647+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-4272"", ""artist"": ""Frans Jansz Post"", ""source"": ""Explorer""}"
2026-02-16T14:38:27.134656+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-4272"", ""artist"": ""Frans Jansz Post"", ""source"": ""selection_checkbox""}"
2026-02-16T14:38:28.368502+00:00,selection_add_item,Explorer,"{""object_id"": ""SK-A-135"", ""artist"": ""Frans Hals (signed by artist)"", ""source"": ""Explorer""}"
2026-02-16T14:38:28.369630+00:00,artwork_view,Explorer,"{""object_id"": ""SK-A-135"", ""artist"": ""Frans Hals (signed by artist)"", ""source"": ""selection_checkbox""}"
